"id","title","content","link","published_date","scraped_at"
11,"Tripartite Committee begins 2025 salary negotiations","The National Tripartite Committee has begun negotiations to determine the 2025 minimum wage and the base pay for the 2025.
The Committee, which includes employers, organised labour and government representatives, is expected to conclude discussions by the end of April, in line with the Public Financial Management (PFM) Act.
A statement signed by the Acting Presidential Spokesperson, Felix Kwakye Ofosu, urged members to work expeditiously to meet the deadline to inform the 2025 Budget.","https://presidency.gov.gh/tripartite-committee-begins-2025-salary-negotiations/","04 February 2025","2025-12-05T19:45:02.712137"
12,"Ghana, Singapore push cross-border payments and SME ties as Mahama hails stabilising economy.","On the second day of his three-day state visit to Singapore, President John Dramani Mahama emphasised the importance of closer financial and technological cooperation, noting that Ghana is positioning itself as a continental gateway under the African Continental Free Trade Area (AfCFTA) while working to restore macroeconomic stability.
“Ghana provides a good gateway and push for Africa into the world,” Mahama said during bilateral talks with President Tharman Shanmugaratnam, pointing to AfCFTA, a youthful population and an untapped market in West Africa and Africa.
He noted that inflation “is down to about 13%” and the government is “targeting a single digit by the end of the year,” alongside “prioritising expenditure” and “ensuring fiscal discipline.”
A central theme of the bilateral talks was the interoperability of payments to unlock trade across African borders.
“It is not enough to sign protocols on free movement of people and goods… we must be able to pay for the goods across borders,” Mahama said.
He added that Ghana is backing continent-wide solutions, “including the start of the PAPSS,” the Pan-African Payment and Settlement System, and wants to draw on Singapore’s expertise.
“Singapore has a comparative advantage over Africa when it comes to payment systems, and we are looking to learn from you,” he said.
President Tharman praised Ghana’s reform efforts.
“Ghana must succeed for West Africa and Africa to succeed, and I see that you… are dealing with the country’s issues, including the debt challenge, admiringly,” he said, calling Mahama’s address at the Africa Singapore Business Forum “a strong reflection of the bilateral relations between our two countries.”
Both leaders also flagged fintech, cross-border payments and SME development as near-term priorities.
“Other areas of interest are Fintech and payment systems, cross-border payments, development of SMEs… and we are ready and glad to pursue them together,” Tharman said.
Mahama congratulated Singapore on the city-state’s 60th anniversary of independence and noted that Ghana will mark its 70th anniversary in 2027, framing the partnership as one that can accelerate Africa–Asia commerce through practical financial connectivity as well as trade protocols.","https://presidency.gov.gh/ghana-singapore-push-cross-border-payments-and-sme-ties-as-mahama-hails-stabilising-economy/","27 August 2025","2025-12-05T19:45:02.780232"
13,"Eleven more envoys commissioned.","The President has commissioned eleven new envoys at a ceremony at The Presidency in Accra. They include Benjamin Anani Quashie- High Commissioner to South Africa, Captain George Kofi Nfojoh (Rtd.)- High Commissioner to Togo, Professor Dora Francisca Edu-Buandoh- High Commissioner to Canada, Alhaji Abdul-Rahman Haruna Attah- High Commissioner to Namibia and Kojo Choi- Ambassador to South Korea.
The rest are Dr Kwame Ampofo – Ambassador to Hungary, Magnus Kofi Amoatey – Ambassador to the Democratic Republic of the Congo, Benedict Batatabe Assorow – Ambassador to the Holy See, Professor Mrs Esi Awuah – Ambassador to the Swiss Confederation, Kwesi Ahwoi – Ambassador to the Republic of Serbia, and Mohammed Abubakari Manaf – Ambassador to Benin.
The commissioning of the eleven on Wednesday brings the total number of ambassadors and high commissioners appointed by President John Dramani Mahama to twenty-nine.
In his remarks after the envoys took their oath of office and allegiance, President Mahama reaffirmed his government’s commitment to enhancing Ghana’s international presence. He also urged them to serve not only as an instrument of diplomatic prestige but also as a catalyst for national renewal, service, and opportunity.
“Your selection as ambassadors and high commissioners is no coincidence. It reflects years of dedicated service, discipline, and the confidence the state places in you to represent Ghana in your respective roles,” he noted.
President Mahama said a new framework of accountability underpins their appointments. He said for the first time in Ghana’s diplomatic practice, the government has introduced Key Performance Indicators (KPIs), a clear set of expectations that define their mandate, provide benchmarks for their assessment, and directly connect their work to national objectives.
“These KPIs are not merely bureaucratic checklists. They serve as tools for transformation. Their purpose is to ensure that each handshake, each negotiation, and every agreement you engage in delivers real benefits for the people of Ghana.”
He said the envoys had been thoroughly briefed on the Government’s Resetting Ghana Agenda, a national blueprint for restoring hope, rebuilding trust, and rekindling prosperity.
“The Reset agenda is not just a slogan. It’s a bold programme of reform and renewal that aims to make governance more accountable, the economy more resilient, and our society more inclusive,” he added.","https://presidency.gov.gh/eleven-more-envoys-commissioned/","02 October 2025","2025-12-05T19:45:02.843009"
14,"President Mahama receives President Azali Assoumani of Comoros.","On Friday, President John Dramani Mahama welcomed the President of Comoros to the Presidency and proposed the establishment of a Permanent Joint Commission for Cooperation between Ghana and Comoros in their discussions.
President Assoumani is in Accra to take part in the Africa Prosperity Dialogue 2025.
Mr Mahama stated that Africa is a burgeoning continent with tremendous potential; however, the low level of trade and cooperation among our countries poses a significant drawback.
He added, “We believe that dialogues and forums such as the African Prosperity Dialogue would enable us to exchange views on enhancing our continent.”
He noted that many countries are adopting visa-free arrangements on the continent to allow the free movement of people, goods, and services between them. Ghana believes that African people should be able to move freely across the continent.
President Mahama championed the advancement of intra-African trade, emphasising Ghana’s role as host of the Secretariat of the African Continental Free Trade Area (AfCFTA) as a significant honour.
“That’s why Ghana is doing everything to support the Secretariat,” he said.
President Assoumani expressed gratitude to President Mahama for the high protocol and warm hospitality extended to him and his delegation.
He congratulated President Mahama on his re-election and praised Ghanaians for a smooth presidential transition. He also commended Ghana for implementing the visa-free regime for holders of an African passport.
Story credit: Ghana News Agency","https://presidency.gov.gh/president-mahama-receives-president-azali-assoumani-of-comoros/","31 January 2025","2025-12-05T19:45:02.903743"
15,"President Mahama welcomes Mercy Ship’s return to Ghana.","President John Dramani Mahama today heralded the renewal of a strategic partnership between the Government of Ghana and the international charity Mercy Ships, emphasising its crucial role in bolstering the nation’s surgical care infrastructure.
The President announced the return of the Global Mercy Ship hospital vessel to Ghana in August 2026, offering free specialised surgeries and intensive training for local healthcare professionals.
The renewed agreement was confirmed following a high-level meeting at the Presidency on Thursday, September 11, 2025, between President Mahama and members of the Mercy Ships Board.
“Health is not a luxury, it is the foundation of freedom and the currency of our dignity”, President Mahama stated, adding, “I am therefore delighted to welcome Mercy Ships back to Ghana next year. This partnership is a strategic intervention that will significantly complement our government’s ongoing efforts to strengthen surgical care delivery across the country.”
During its planned field service, the Mercy Ship will dock at the Port of Tema, providing a floating surgical hospital that delivers a wide range of life-changing operations free of charge to those in need. Beyond direct patient care, the mission will focus heavily on advancing Ghana’s national goals for safe surgical care through comprehensive training and mentorship programs for Ghanaian surgeons, anaesthesiologists, nurses, and other medical personnel.
Dame Ann Gloag led the Mercy Ship delegation. Present at the meeting were Kwabena Mintah Akandoh (MP) and Obuobia Darko-Opoku, Administrator of the Ghana Medical Trust Fund.
The August 2026 visit will mark Mercy Ship’s fifth deployment to Ghana since 1991, building on a legacy of impactful collaboration. Previous visits have facilitated over 2,600 life-altering surgeries, 16,700 dental procedures, and the professional development of 139 Ghanaian healthcare professionals.","https://presidency.gov.gh/president-mahama-welcomes-mercy-ships-return-to-ghana/","11 September 2025","2025-12-05T19:45:02.981259"
16,"Gov’t clears pre-2025 arrears on Ofankor–Nsawam road and holds contractor to June 2026 completion date.","Government has cleared all outstanding arrears totalling owed to Maripoma Enterprise Limited, the contractor on the 33.4-kilometre Ofankor–Nsawam section of the Accra–Kumasi highway.
The company has returned to the site, with officials reporting steady progress and an easing of the severe traffic that recently sparked public agitation.
During a site visit on Wednesday, President John Dramani Mahama said his administration has reassigned the project as part of the Big Push initiative, which has GHS14 billion allocated this year and a further GHS30 billion expected next year.
“We will hold you to your word. You say by the end of the second quarter next year it should be finished,” the President said, stressing the corridor’s importance as a major arterial route linking Accra and Kumasi and serving large volumes of commuters, goods and services.
“As the government commits to paying you well, you too must commit to moving faster on the road and also use quality materials.”
Minister for Roads and Highways, Kwame Agbodza, confirmed the arrears have been fully cleared and said his ministry will enforce the revised timetable.
“We don’t owe the contractor any amount. I want to hold the contractor to his word that by the end of the second quarter of 2026, the project will be completed,” he said.
Maripoma Enterprise Limited has acknowledged receipt of payment and pledged to accelerate work to meet the June 2026 deadline.
The Ofankor–Nsawam project began in July 2022 with an initial completion date of July 2024. It stalled for many months due to mounting debt and worsening congestion along the corridor.
Work resumed after the Mahama administration mobilised funds to clear the arrears, enabling the contractor to return to the site.","https://presidency.gov.gh/govt-clears-pre-2025-arrears-on-ofankor-nsawam-road-and-holds-contractor-to-june-2026-completion-date/","03 September 2025","2025-12-05T19:45:03.046668"
17,"President Mahama Ends ‘Thank You’ Tour: Calls for Unity, Economic Transformation, and Peace.","President John Dramani Mahama on Friday concluded his national ‘Thank You’ Tour triumphantly in Dambai, Oti Region. The tour, a journey of appreciation and dialogue, saw the President reaffirm his commitment to governing Ghana with sincerity, dedication, vision, and integrity.
Throughout his engagements across the 16 regions, President Mahama emphasised the crucial role of traditional leaders. He reiterated his dedication to strengthening traditional governance frameworks and improving the capacity of Chiefs to actively and meaningfully participate in national decision-making processes.
Addressing a lively and colourful durbar in Dambai, President Mahama gave an encouraging update on his administration’s flagship economic plan.
“I am pleased to report that our Reset Agenda is firmly on track,” he declared. “We have begun a bold and necessary journey—to reset our economy, rebuild national institutions, and restore hope. This is the Reset Agenda, grounded in fairness, discipline, inclusion, and accountability.”
He encouraged Ghanaians to embrace a new mindset and actively engage in the transformative national journey.
President Mahama called for collective action to unlock the potential of the country:
“The time to act is now. I urge you to embrace the opportunities presented by our flagship initiatives—from the 24-Hour Economy to the National Apprenticeship Programme, Free Primary Healthcare, Digital Governance, and Export-Led Industrialisation.”
A significant portion of the President’s address was dedicated to the indispensable role of peace in fostering national development. He expressed deep concern over the recent insecurity in Nkwanta, condemning the “unfortunate killing, maiming of innocent people and destruction to property over disagreements” as utterly unacceptable.
Mr Mahama said, “All these things I’ve talked about, all this infrastructure development I’ve talked about, cannot take place if we do not have peace. And that’s why the development in Nkwanta is troubling.”
He made a fervent appeal to all parties involved, “I wish to appeal to all those in Nkwanta who are involved in the conflict to please lay down your arms.”
Responding to an appeal by Nana Soglo Alloh IV, Paramount Chief of the Likpe Traditional Area and President of the Oti Regional House of Chiefs, for a military barracks in Nkwanta, President Mahama stated that there is a need for local, sustainable solutions over military intervention.
He argued that resources dedicated to a military camp could be better invested in life-changing development projects.
“It’s completely unacceptable,” he stated firmly. “Let’s use our traditional mechanisms to establish peace. We should be fighting poverty, not fighting each other. We should be asking for hospitals and schools and jobs and things, not military camps.”
The President shared positive feedback from the 2025 Mid-year Budget Review, indicating Ghanaians are satisfied with the government’s economic management so far.
He defined the “Reset Agenda” as a bold journey to reset our economy, rebuild national institutions, and restore hope, all grounded in fairness, discipline, inclusion, and accountability.
President Mahama urged everyone to seize opportunities from flagship initiatives like the 24-Hour Economy, National Apprenticeship Programme, Free Primary Healthcare, Digital Governance and Export-Led Industrialisation
The President expressed deep concern about the insecurity in Nkwanta, appealing for an end to the conflict.
“All this development cannot take place if we do not have peace,” he stressed. “We should be fighting poverty, not fighting each other. We should be asking for hospitals and schools and jobs and things, not military camps.”","https://presidency.gov.gh/president-mahama-ends-thank-you-tour-calls-for-unity-economic-transformation-and-peace/","27 July 2025","2025-12-05T19:45:03.115542"
18,"Outgoing envoys from France, Malta, and Angola bid farewell to President Mahama.","President John Dramani Mahama has bid farewell to the outgoing ambassadors of Angola, Malta and France, commending them for their roles in deepening bilateral ties and advancing economic cooperation with Ghana.
Receiving the envoys separately at The Presidency, President Mahama highlighted opportunities for expanded collaboration in trade, investment, energy, and security, and thanked the diplomats for their service.
The first to call was Angola’s outgoing ambassador, João Domingos Baptista Quiosa, who concluded a four-year tour in Ghana.
He traced Ghana–Angola relations to 1959, recalling how President Dr. Kwame Nkrumah, through liberation networks, supported Angola’s struggle for independence.
Ambassador Baptista Quiosa noted that with Ghana’s support, Angola has expanded large-scale cocoa cultivation and that many Angolan students now study in Ghana.
President Mahama called for greater collaboration and knowledge-sharing, particularly in oil and gas and renewable energy.
Malta’s outgoing ambassador, Jean Claude Galea Mallia, who served in Ghana for more than seven years, described his departure as deeply emotional, citing strong personal experiences.
He said Malta would continue to partner with Ghana, especially under the African Continental Free Trade Area (AfCFTA), and pointed to rapid growth in trade. He also noted that Ghana now ranks fifth among Malta’s export destinations after the United States.
President Mahama said ongoing reforms aim to position Ghana as a business hub for the subregion.
“Ghana alone cannot fully leverage the investment opportunities available and is ready to partner with others to tap the huge potential,” he added.
France’s outgoing ambassador, Jules Armand Aniambossou, reaffirmed his country’s commitment to Ghana, noting that the number of French companies operating locally has risen to 60.
He called for an even more conducive business environment, stating that France is investing over €2 million to build the capacity of entrepreneurs in the entertainment industry and more than €90 million in Feed Ghana initiatives in the northern belt.
Ambassador Aniambossou served in Ghana for two years.
President Mahama thanked France for its continued support and said Ghana hopes to draw on French expertise in aviation to enhance Ghana Air Force training and safety, especially following the recent helicopter crash that claimed eight lives.
As a symbolic gesture marking their service and ties with Ghana, President Mahama presented the envoys with stools and kente sashes.","https://presidency.gov.gh/outgoing-envoys-from-france-malta-and-angola-bid-farewell-to-president-mahama/","04 September 2025","2025-12-05T19:45:03.178584"
19,"Security Chiefs pledge loyalty to the President & Commander-in-Chief of the Armed Forces","The Chief of Defence Staff, the Inspector General of Police, and other Security Service Chiefs have pledged their loyalty to the President and Commander-in-Chief of the Armed Forces, John Dramani Mahama. Brigadier General Thomas Oppong Peprah assured the President that the security architecture would remain professional and dedicated to helping the President realise his vision of Resetting Ghana. President Mahama urged them to take proactive measures to maintain peace and stability and remain vigilant in safeguarding the nation against internal and external threats. The President also reminded them about external concerns, particularly threats along the northern borders and terrorism.","https://presidency.gov.gh/security-chiefs-pledge-loyalty-mahama/","15 January 2025","2025-12-05T19:45:03.242606"
20,"President Mahama expected in Upper West Region.","President John Dramani Mahama will take his nationwide “Thank You” tour to the Upper West Region on Thursday.
This and other such visits serve as an opportunity for the President to express his deep gratitude to the Chiefs and people of the various regions for their unwavering support during the 2024 general elections.
The President will address a grand durbar at the Jubilee Park in Wa and is expected to outline his administration’s priority projects for the region.
Focus areas will include bolstering the region’s agricultural sector through strategic investments in agriculture and agro-processing, improving road networks, enhancing healthcare infrastructure, and implementing other crucial infrastructure projects.
The president will also detail the government’s job creation initiatives aimed at improving the livelihoods of the people of the Upper West.
He will also highlight key achievements made in laying a solid foundation for the #ResettingGhana agenda. This agenda aims to propel Ghana towards sustainable development and economic prosperity.
Following the Upper West Region visit, the President is scheduled to address a similar durbar of Chiefs and people in the Greater Accra region in Dodowa on Friday, May 16th, 2025.","https://presidency.gov.gh/president-mahama-expected-in-upper-west-region/","14 May 2025","2025-12-05T19:45:03.311048"
